ID_point,Point_name,Date ,Decimale_date,Collecting_campaign,Year,Coordinates_X,Coordinates_X_UTM_31,Coordinates_Y,Coordinates_Y_UTM_31,Altitude_asl,Profondeur_cm,Profondeur_approximative,Color,Hcl,Hcl_rough,Humidity,Hydromorphy,Hydromorphy_intensity,Texture,Surface_structure,Average_surface_stability_6,Flapping_crust,Compactness,Rough_approximate_elements_%,Comments,Parcel_code,zone,EC_1_5_mS_cm,EC_mS_cm,pH,Ca_ppm,Na_ppm,NO3_ppm,K_ppm
JP19B25,B25,20/05/2019,43605,JP19,2019,"3,094985","507711,49","43,242998","4787804,26","4,977",70-80,75,10YR5/4,3,,1,0,,silty clay,,,,,,,1,B,"0,25","1,685","8,25",79,,,
JP19B25,B25,20/05/2019,43605,JP19,2019,"3,094985","507711,49","43,242998","4787804,26","4,677",90-120,105,10YR5/4,3,,1,0,,clay,,,,,,,1,B,"0,206","1,38844","8,29",73,,,
JP19B26,B26,20/05/2019,43605,JP19,2019,"3,094831","507699,07","43,242356","4787732,95","5,615",0-20,10,10YR4/3,3,,1,0,,silty clay,,,,,,,1,B,"0,315","2,1231","8,33",110,,,
JP19B26,B26,20/05/2019,43605,JP19,2019,"3,094831","507699,07","43,242356","4787732,95","5,365",30-40,35,10YR5/4,3,,1,0,,silty clay,,,,,,,1,B,"0,286","1,92764","8,23",110,,,
JP19B26,B26,20/05/2019,43605,JP19,2019,"3,094831","507699,07","43,242356","4787732,95","4,965",70-80,75,10YR5/4,3,,1,0,,silty clay,,,,,,,1,B,"0,228","1,53672","8,28",85,,,
JP19B26,B26,20/05/2019,43605,JP19,2019,"3,094831","507699,07","43,242356","4787732,95","4,665",90-120,105,10YR5/4,3,,2,0,,silty clay,,,,,,,1,B,"0,263","1,77262","8,2",78,,,
JP19B27,B27,20/05/2019,43605,JP19,2019,"3,1013","508224,02","43,2442","4787938,35","5,42",0-20,10,10YR5/3,3,,1,0,,silty clay,,"2,16666666666667",,,,,1,B,"0,285","1,9209","8,2",110,,,
JP19B27,B27,20/05/2019,43605,JP19,2019,"3,1013","508224,02","43,2442","4787938,35","5,17",30-40,35,10YR5/3,3,,1,0,,silty clay,,,,,,,1,B,"0,256","1,72544","8,19",90,,,
JP19B27,B27,20/05/2019,43605,JP19,2019,"3,1013","508224,02","43,2442","4787938,35","4,77",70-80,75,10YR5/3,3,,1,0,,silty clay,,,,,,,1,B,"0,214","1,44236","8,23",84,,,
JP19B27,B27,20/05/2019,43605,JP19,2019,"3,1013","508224,02","43,2442","4787938,35","4,47",90-120,105,10YR5/4,3,,2,0,,silty clay,,,,,,,1,B,"0,244","1,64456","8,36",81,,,
JP19B28,B28,20/05/2019,43605,JP19,2019,"3,1005","508159,07","43,2442","4787938,27","5,318",0-20,10,10YR5/3,3,,1,0,,silty clay,,"2,33333333333333",,,,,1,B,"0,295","1,9883","8,12",120,,,
JP19B28,B28,20/05/2019,43605,JP19,2019,"3,1005","508159,07","43,2442","4787938,27","5,068",30-40,35,10YR5/3,3,,1,0,,silty clay,,,,,,,1,B,"0,25","1,685","8,23",95,,,
JP19B28,B28,20/05/2019,43605,JP19,2019,"3,1005","508159,07","43,2442","4787938,27","4,668",70-80,75,10YR5/4,3,,1,0,,silty clay,,,,,,,1,B,"0,248","1,67152","8,22",93,,,
JP19B28,B28,20/05/2019,43605,JP19,2019,"3,1005","508159,07","43,2442","4787938,27","4,368",90-120,105,10YR5/4,3,,2,0,,silty clay,,,,,,,1,B,"0,24","1,6176","8,32",86,,,
JP19B29,B29,20/05/2019,43605,JP19,2019,"3,0902556","507327,63","43,2421333","4787707,81","5,122",0-20,10,10YR5/3,3,,1,0,,silty clay,,,,,,"The piezometric height is 2m30, electroconductivity of 670microsiemens/cm but intake in turbid water,",1,B,"0,306","2,06244","8,27",120,,,
JP19B29,B29,20/05/2019,43605,JP19,2019,"3,0902556","507327,63","43,2421333","4787707,81","4,872",30-40,35,10YR5/3,3,,1,0,,silty clay,,,,,,,1,B,"0,243","1,63782","8,17",96,,,
JP19B29,B29,20/05/2019,43605,JP19,2019,"3,0902556","507327,63","43,2421333","4787707,81","4,472",70-80,75,10YR5/4,3,,1,0,,silty clay,,,,,,,1,B,"0,242","1,63108","8,34",84,,,
JP19B29,B29,20/05/2019,43605,JP19,2019,"3,0902556","507327,63","43,2421333","4787707,81","4,172",90-120,105,10YR5/4,3,,2,0,,silty clay,,,,,,,1,B,"0,246","1,65804","8,2",83,,,
JP19B29,B29,20/05/2019,43605,JP19,2019,"3,0902556","507327,63","43,2421333","4787707,81","3,772",140-150,145,10YR5/3,3,,2,0,,sandy loam,,,,,,,1,B,"0,248","1,67152","8,37",77,,,
JP19B29,B29,20/05/2019,43605,JP19,2019,"3,0902556","507327,63","43,2421333","4787707,81","3,072",210-220,215,10YR5/4,3,,2,0,,sandy loam,,,,,,,1,B,"0,295","1,9883","8,08",73,,,
JP19B29,B29,20/05/2019,43605,JP19,2019,"3,0902556","507327,63","43,2421333","4787707,81","2,272",290-300,295,10YR6/6,2,,3,0,,sandy loam,,,,,,,1,B,"0,374","2,52076","8,14",61,,,
JP19B29,B29,20/05/2019,43605,JP19,2019,"3,0902556","507327,63","43,2421333","4787707,81","1,272",390-400,395,7YR5/1,2,,3,0,,clay,,,,,,,1,B,"0,56","3,7744","8,18",120,,,
JP19B30,B30,20/05/2019,43605,JP19,2019,"3,102432","508316,03","43,243387","4787848,18","4,953",0-20,10,10YR4/3,3,,1,0,,silty clay,,,,,,Sub-median angle,1,B,"0,292","1,96808","8,06",130,,,
JP19B30,B30,20/05/2019,43605,JP19,2019,"3,102432","508316,03","43,243387","4787848,18","4,703",30-40,35,10YR5/4,3,,1,0,,silty clay,,,,,,,1,B,"0,31","2,0894","8,35",81,,,
JP19B30,B30,20/05/2019,43605,JP19,2019,"3,102432","508316,03","43,243387","4787848,18","4,303",70-80,75,10YR5/4,3,,1,0,,silty clay,,,,,,,1,B,"0,328","2,21072","8,46",38,,,
JP19B30,B30,20/05/2019,43605,JP19,2019,"3,102432","508316,03","43,243387","4787848,18","4,003",90-120,105,10YR5/4,3,,1,10,P,silty clay,,,,,,,1,B,"0,484","3,26216","8,29",53,,,
JP19B31,B31,20/05/2019,43605,JP19,2019,"3,102342","508308,66","43,243897","4787904,81","5,32",0-20,10,10YR4/3,3,,1,0,,silty clay,,,,,,"Very weak structure,",1,B,"0,308","2,07592","8,18",95,,,
JP19B31,B31,20/05/2019,43605,JP19,2019,"3,102342","508308,66","43,243897","4787904,81","5,07",30-40,35,10YR5/4,3,,1,0,,silty clay,,,,,,,1,B,"0,38","2,5612","8,29",130,,,
JP19B31,B31,20/05/2019,43605,JP19,2019,"3,102342","508308,66","43,243897","4787904,81","4,67",70-80,75,10YR5/4,3,,1,0,,silty clay,,,,,,,1,B,"1,467","9,88758","8,1",82,,,
JP19B31,B31,20/05/2019,43605,JP19,2019,"3,102342","508308,66","43,243897","4787904,81","4,37",90-120,105,10YR5/4,3,,1,0,,silty clay,,,,,,,1,B,"0,995","6,7063","8,29",76,,,
JP19G2,G2,20/05/2019,43605,JP19,2019,"3,055012","504472,96","43,150723","4777554,02","16,714",0-20,10,"7,5YR5/6",3,,1,0,,sandy clay loam,,,,,,,1,G,"0,267","1,79958","7,95",100,,,
JP19G2,G2,20/05/2019,43605,JP19,2019,"3,055012","504472,96","43,150723","4777554,02","16,464",30-40,35,10YR5/6,3,,1,0,,sandy clay loam,,,,,,,1,G,"0,259","1,74566","8,26",79,,,
JP19G2,G2,20/05/2019,43605,JP19,2019,"3,055012","504472,96","43,150723","4777554,02","16,064",70-80,75,10YR4/6,3,,1,0,,silty clay,,,,,,,1,G,"0,337","2,27138","8,02",71,,,
JP19G2,G2,20/05/2019,43605,JP19,2019,"3,055012","504472,96","43,150723","4777554,02","15,764",90-120,105,10YR4/6,3,,1,0,,silty clay,,,,,,,1,G,"0,649","4,37426","8,28",98,,,
JP19E23,E23,21/05/2019,43606,JP19,2019,"3,0438833","503568,09","43,1508217","4777564,44","0,93",0-20,10,10YR5/3,3,,1,0,,silty clay,,,,,,"Meadow, Monges transect ",2,E,"0,307","2,06918","8,35",86,,,
JP19E23,E23,21/05/2019,43606,JP19,2019,"3,0438833","503568,09","43,1508217","4777564,44","0,68",30-40,35,10YR5/3,3,,1,10,P,silty clay,,,,,,,2,E,"0,841","5,66834","8,39",30,,,
JP19E23,E23,21/05/2019,43606,JP19,2019,"3,0438833","503568,09","43,1508217","4777564,44","0,28",70-80,75,10YR5/3,3,,2,10,M,silty clay,,,,,,,2,E,"1,409","9,49666","8,24",37,,,
JP19E23,E23,21/05/2019,43606,JP19,2019,"3,0438833","503568,09","43,1508217","4777564,44","-0,02",90-120,105,10YR5/3,3,,2,11,M,silty clay,,,,,,,2,E,"1,507","10,15718","8,27",34,,,
JP19E24,E24,21/05/2019,43606,JP19,2019,"3,0356886","502901,68","43,1531389","4777821,46","1,889",0-20,10,10YR5/3,3,,1,0,,silty clay,,,,,,"Mowed meadow near the canal, ",2,E,"0,338","2,27812","8,2",110,,,
JP19E24,E24,21/05/2019,43606,JP19,2019,"3,0356886","502901,68","43,1531389","4777821,46","1,639",30-40,35,10YR5/3,3,,"0,5",10,P,silty clay,,,,,,,2,E,"0,418","2,81732","8,32",97,,,
JP19E24,E24,21/05/2019,43606,JP19,2019,"3,0356886","502901,68","43,1531389","4777821,46","1,239",70-80,75,10YR5/4,2,,1,10,M,silty clay,,,,,,,2,E,"0,606","4,08444","8,3",70,,,
JP19E24,E24,21/05/2019,43606,JP19,2019,"3,0356886","502901,68","43,1531389","4777821,46","0,939",90-120,105,10YR5/4,2,,1,11,M,silty clay,,,,,,,2,E,"0,507","3,41718","8,28",62,,,
JP19E25,E25,21/05/2019,43606,JP19,2019,"3,0514458","504183,05","43,1500244","4777476,25","2,226",0-20,10,10YR4/3,3,,1,0,,silty clay,,,,,,"Vines in a circle with a rather high mortality rate, ",1,E,"0,515","3,4711","8,3",110,,,
JP19E25,E25,21/05/2019,43606,JP19,2019,"3,0514458","504183,05","43,1500244","4777476,25","1,976",30-40,35,10YR4/4,3,,1,0,,silty clay,,,,,,,1,E,"0,551","3,71374","8,03",93,,,
JP19E25,E25,21/05/2019,43606,JP19,2019,"3,0514458","504183,05","43,1500244","4777476,25","1,576",70-80,75,10YR4/4,3,,1,0,,silty clay,,,,,,,1,E,"0,828","5,58072","8,05",100,,,
JP19E25,E25,21/05/2019,43606,JP19,2019,"3,0514458","504183,05","43,1500244","4777476,25","1,276",90-120,105,10YR5/4,3,,2,0,,silty clay,,,,,,,1,E,"0,517","3,48458","8,25",73,,,
JP19E26,E26,21/05/2019,43606,JP19,2019,"3,0508036","504130,82","43,1501725","4777492,67","1,886",0-20,10,10YR4/4,3,,1,10,M,silty clay,,,,,,"Vine in a part with less mortality, in this one we used the extensions, ",1,E,"0,336","2,26464","8,16",93,,,
JP19E26,E26,21/05/2019,43606,JP19,2019,"3,0508036","504130,82","43,1501725","4777492,67","1,636",30-40,35,10YR4/3,3,,1,10,M,silty clay,,,,,,,1,E,"0,668","4,50232",,96,,,
JP19E26,E26,21/05/2019,43606,JP19,2019,"3,0508036","504130,82","43,1501725","4777492,67","1,236",70-80,75,10YR4/3,3,,1,10,M,silty clay,,,,,,,1,E,"1,089","7,33986","8,27",97,,,
JP19E26,E26,21/05/2019,43606,JP19,2019,"3,0508036","504130,82","43,1501725","4777492,67","0,936",90-120,105,10YR4/3,3,,2,10,M,silty clay,,,,,,,1,E,"1,124","7,57576","8,13",75,,,
JP19E26,E26,21/05/2019,43606,JP19,2019,"3,0508036","504130,82","43,1501725","4777492,67","0,736",120-140,125,,3,,2,10,M,clay silt,,,,,,,1,E,,,,,,,
JP19E26,E26,21/05/2019,43606,JP19,2019,"3,0508036","504130,82","43,1501725","4777492,67","0,436",150-190,155,,3,,,,,,,,,,,Small carbonate elements (0.5mm),1,E,,,,,,,
JP19E26,E26,21/05/2019,43606,JP19,2019,"3,0508036","504130,82","43,1501725","4777492,67","-0,214",220,220,,3,,,,,,,,,,,pottery,1,E,"0,552","3,72048","8,35",51,,,
JP19E26,E26,21/05/2019,43606,JP19,2019,"3,0508036","504130,82","43,1501725","4777492,67","-0,364",230-260,235,,3,,,,,,,,,,,"We find clays plus sand which are finally shells, the aspect is black, it is related to the reduction,",1,E,,,,,,,
JP19E26,E26,21/05/2019,43606,JP19,2019,"3,0508036","504130,82","43,1501725","4777492,67","-0,764",270-280,275,,0,,,,,,,,,,,"Black mud, high water content",1,E,,,,,,,
JP19E26,E26,21/05/2019,43606,JP19,2019,"3,0508036","504130,82","43,1501725","4777492,67","-0,964",290-300,295,,0,,,,,,,,,,,Black sand,1,E,"1,167","7,86558","8,12",240,,,
JP19E27,E27,21/05/2019,43606,JP19,2019,"3,0485497","503947,56","43,1501456","4777489,57","1,025",0-20,10,10YR4/4,2,,2,10,M,silty clay,,,,,,,2,E,"2,1","14,154","8,24",86,,,
JP19E27,E27,21/05/2019,43606,JP19,2019,"3,0485498","503947,57","43,1501456","4777489,57","0,775",30-40,35,10YR4/4,3,,2,10,M,silty clay,,,,,,,2,E,"2,99","20,1526","8,28",51,,,
JP19E27,E27,21/05/2019,43606,JP19,2019,"3,0485499","503947,57","43,1501456","4777489,57","0,375",70-80,75,10YR4/4,3,,2,1,M,silty clay,,,,,,,2,E,"4,87","32,8238",,,,,
JP19E27,E27,21/05/2019,43606,JP19,2019,"3,04855","503947,58","43,1501456","4777489,57","0,075",90-120,105,10YR5/4,3,,2,1,M,silty clay,,,,,,,2,E,"5,3","35,722","8,25",70,,,
JP19E28,E28,21/05/2019,43606,JP19,2019,"3,0470242","503823,46","43,1511283","4777598,63","0,96",0-20,10,10YR3/2,2,,"2,5",10,M,silty clay,,,,,,The surface horizon is very rich in organic matter,2,E,"0,817","5,50658","8,18",80,,,
JP19E28,E28,21/05/2019,43606,JP19,2019,"3,0470242","503823,46","43,1511283","4777598,63","0,71",30-40,35,10YR5/3,3,,2,10,M,clay silt,,,,,,,2,E,"1,363","9,18662","8,36",31,,,
JP19E28,E28,21/05/2019,43606,JP19,2019,"3,0470242","503823,46","43,1511283","4777598,63","0,31",70-80,75,10YR5/3,3,,3,10,M,clay silt,,,,,,,2,E,"0,436","2,93864","8,39",35,,,
JP19E28,E28,21/05/2019,43606,JP19,2019,"3,0470242","503823,46","43,1511283","4777598,63","0,01",90-120,105,10YR5/4,2,,2,0,,silty clay,,,,,,,2,E,"0,47","3,1678","8,33",55,,,
JP19G3,G3,21/05/2019,43606,JP19,2019,"3,0558","504537,03","43,1508","4777562,61","23,645",0-20,10,"2,5YR5/8",3,,1,10,M,clay,sub-angular,,,,,"Strong structure, median grain size, Monge zone point not necessarily interesting to characterize salinity,",1,G,"0,265","1,7861","8,29",,,,
JP19G3,G3,21/05/2019,43606,JP19,2019,"3,0558","504537,03","43,1508","4777562,61","23,395",30-40,35,"2,5YR5/8",3,,1,10,M,,,,,,,,1,G,"0,352","2,37248","8,34",64,,,
JP19G3,G3,21/05/2019,43606,JP19,2019,"3,0558","504537,03","43,1508","4777562,61","22,995",70-80,75,"2,5YR7/6",3,,1,10,M,,,,,,,,1,G,"0,547","3,68678","8,21",55,,,
JP19G3,G3,21/05/2019,43606,JP19,2019,"3,0558","504537,03","43,1508","4777562,61","22,695",90-120,105,10YR5/4,3,,1,0,,,,,,,,,1,G,"1,37","9,2338","8,32",,,,
JP19G4,G4,21/05/2019,43606,JP19,2019,"3,0556","504520,77","43,1508","4777562,6","21,54",0-20,10,5YR5/6,3,,,0,,,,,,,,Passing through the rock,1,G,"0,356","2,39944","8,19",88,,,
JP19G4,G4,21/05/2019,43606,JP19,2019,"3,0556","504520,77","43,1508","4777562,60","21,29",30-40,35,"7,5YR5/6",3,,,0,,,,,,,,,1,G,"0,317","2,13658","8,3",72,,,
JP19G4,G4,21/05/2019,43606,JP19,2019,"3,0556","504520,77","43,1508","4777562,60","20,89",70-80,75,,3,,,0,,,,,,,,,1,G,"0,629","4,23946","8,14",110,,,
JP19G4,G4,21/05/2019,43606,JP19,2019,"3,0556","504520,77","43,1508","4777562,6",,90-120,105,"7,5YR6/6",3,,,0,,,,,,,,,1,G,,,,,,,
JP19G5,G5,21/05/2019,43606,JP19,2019,"3,0553","504496,38","43,1507","4777551,48","18,314",0-20,10,5YR5/6,3,,1,0,,clay loam,,,,,,,1,G,"0,313","2,10962","8,13",110,,,
JP19G5,G5,21/05/2019,43606,JP19,2019,"3,0553","504496,38","43,1507","4777551,48","18,064",30-40,35,"7,5YR5/6",3,,1,0,,,,,,,,,1,G,"0,309","2,08266","8,28",66,,,
JP19G5,G5,21/05/2019,43606,JP19,2019,"3,0553","504496,38","43,1507","4777551,48","17,664",70-80,75,"7,5YR5/8",3,,1,0,,,,,,,,,1,G,,,,,,,
JP19E29,E29,21/05/2019,43606,JP19,2019,"3,0493","504008,60","43,1496","4777429,02","1,667",0-20,10,10YR4/3,3,,,0,,clay loam,,,,,,,1,E,"0,277","1,86698","8,22",86,,,
JP19E29,E29,21/05/2019,43606,JP19,2019,"3,0493","504008,60","43,1496","4777429,02","1,417",30-40,35,10YR5/4,3,,,0,,silty clay,,,,,,,1,E,"0,399","2,68926","8,26",79,,,
JP19E29,E29,21/05/2019,43606,JP19,2019,"3,0493","504008,60","43,1496","4777429,02","1,017",70-80,75,10YR5/4,3,,,10,P,silty clay,,,,,,,1,E,"1,159","7,81166","8,12",150,,,
JP19E29,E29,21/05/2019,43606,JP19,2019,"3,0493","504008,60","43,1496","4777429,02","0,717",90-120,105,10YR5/4,3,,,10,P,silty clay,,,,,,,1,E,"1,128","7,60272","8,36",49,,,
JP19E30,E30,21/05/2019,43606,JP19,2019,"3,051","504146,90","43,1485","4777306,94","3,249",0-20,10,"7,5YR4/3",1,,,0,,sandy loam,,,,,,"Some stones, 3/5cm angular calcareous, 25-30% Vine in cup, chemical work in the row, important dieback,",1,E,"0,254","1,71196","8,25",85,,,
JP19E30,E30,21/05/2019,43606,JP19,2019,"3,051","504146,90","43,1485","4777306,94","2,999",30-40,35,"7,5YR5/4",1,,,0,,sandy clay loam,,,,,,,1,E,"0,22","1,4828","8,2",89,,,
JP19E30,E30,21/05/2019,43606,JP19,2019,"3,051","504146,90","43,1485","4777306,94","2,599",70-80,75,"7,5YR5/4",1,,,10,P,sandy clay loam,,,,,,,1,E,"0,214","1,44236","8,29",73,,,
JP19E30,E30,21/05/2019,43606,JP19,2019,"3,051","504146,90","43,1485","4777306,94","2,298",90-120,105,10YR6/6,3,,,10,P,sandy loam,,,,,,,1,E,"0,23","1,5502",,75,,,
JP19E31,E31,21/05/2019,43606,JP19,2019,"3,0477","503878,45","43,1504","4777517,78","0,911",0-20,10,10YR3/2,3,,,0,,clay,,,,,,"Vine trellised, few big problems, ground water at 90cm clay with shells at 2,6m, reduction, bluish and very saturated, at three meters it becomes more sandy and blue, ground water after 50 centimeters.",1,E,"2,54","17,1196","8,34",68,,,
JP19E31,E31,21/05/2019,43606,JP19,2019,"3,0477","503878,45","43,1504","4777517,78","0,661",30-40,35,10YR5/3,3,,,10,P,silty clay,,,,,,,1,E,"3,59","24,1966","8,2",50,,,
JP19E31,E31,21/05/2019,43606,JP19,2019,"3,0477","503878,45","43,1504","4777517,78","0,261",70-80,75,10YR5/3,3,,,10,P,silty clay,,,,,,,1,E,"3,78","25,4772","8,26",59,,,
JP19E31,E31,21/05/2019,43606,JP19,2019,"3,0477","503878,45","43,1504","4777517,78","-0,039",90-120,105,10YR5/4,3,,,10,P,silty clay,,,,,,,1,E,"3,16","21,2984","8,42",40,,,
JP19E31,E31,21/05/2019,43606,JP19,2019,"3,0477","503878,45","43,1504","4777517,78",,300,300,,3,,,0,,,,,,,,,1,E,"3,96","26,6904","8,02",140,,,
JP19E32,E32,21/05/2019,43606,JP19,2019,"3,042","503414,93","43,1514","4777628,59","1,177",0-20,10,10YR4/4,2,,,0,,silty clay loam,,,,,,"No silicone, homogeneous medium, mid-plot sample",2,E,"0,458","3,08692","8,21",78,,,
JP19E32,E32,21/05/2019,43606,JP19,2019,"3,042","503414,93","43,1514","4777628,59","0,927",30-40,35,10YR5/4,2,,,0,,silty clay loam,,,,,,,2,E,"0,601","4,05074","8,38",31,,,
JP19E32,E32,21/05/2019,43606,JP19,2019,"3,042","503414,93","43,1514","4777628,59","0,527",70-80,75,10YR5/4,2,,,10,P,silty clay loam,,,,,,,2,E,"1,713","11,54562","8,37",47,,,
JP19E32,E32,21/05/2019,43606,JP19,2019,"3,042","503414,93","43,1514","4777628,59","0,227",90-120,105,10YR5/4,2,,,10,P,silty clay loam,,,,,,,2,E,"1,854","12,49596","8,29",63,,,
JP19E33,E33,21/05/2019,43606,JP19,2019,"3,0364","502959,54","43,1528","4777783,85","1,569",0-20,10,10YR4/4,3,,,0,,silty clay loam,,,,,,"Low dieback vine, probably submerged a few days before.",1,E,"0,366","2,46684","8,39",90,,,
JP19E33,E33,21/05/2019,43606,JP19,2019,"3,0364","502959,54","43,1528","4777783,85","1,319",30-40,35,10YR5/6,3,,,0,,silty clay loam,,,,,,,1,E,"0,344","2,31856","8,28",61,,,
JP19E33,E33,21/05/2019,43606,JP19,2019,"3,0364","502959,54","43,1528","4777783,85","0,919",70-80,75,10YR5/6,3,,,0,,silty clay loam,,,,,,,1,E,"0,408","2,74992","8,33",51,,,
JP19E33,E33,21/05/2019,43606,JP19,2019,"3,0364","502959,54","43,1528","4777783,85","0,619",90-120,105,10YR5/6,3,,,0,,silty clay,,,,,,,1,E,"0,417","2,81058",,,,,
JP19B32,B32,21/05/2019,43606,JP19,2019,"3,173756","514107,78","43,238016","4787261,27","2,008",0-20,10,10YR4/4,3,,1,0,,silty clay,,,,,,"Untreated vine, no mechanical tillage, deeper layer richer in clay than others",1,B,"0,363","2,44662","8,21",110,,,
JP19B32,B32,21/05/2019,43606,JP19,2019,"3,173756","514107,78","43,238016","4787261,27","1,758",30-40,35,10YR5/4,3,,1,0,,silty clay,,,,,,,1,B,"0,322","2,17028","8,17",100,,,
JP19B32,B32,21/05/2019,43606,JP19,2019,"3,173756","514107,78","43,238016","4787261,27","1,358",70-80,75,10YR5/4,3,,1,0,,silty clay,,,,,,,1,B,"0,857","5,77618","8,36",42,,,
JP19B32,B32,21/05/2019,43606,JP19,2019,"3,173756","514107,78","43,238016","4787261,27","1,058",90-120,105,10YR5/4,3,,2,0,,silty clay,,,,,,,1,B,"1,255","8,4587","8,32",57,,,
JP19B33,B33,21/05/2019,43606,JP19,2019,"3,173761","514107,95","43,239049","4787375,99","1,97",0-20,10,10YR4/3,3,,1,0,,silty clay,,,,,,Slightly less clay on the deep layer than the first value of the parcel,1,B,"0,273","1,84002","8,17",110,,,
JP19B33,B33,21/05/2019,43606,JP19,2019,"3,173761","514107,95","43,239049","4787375,99","1,72",30-40,35,10YR5/3,3,,1,0,,silty clay,,,,,,,1,B,"0,347","2,33878","8,33",76,,,
JP19B33,B33,21/05/2019,43606,JP19,2019,"3,173761","514107,95","43,239049","4787375,99","1,32",70-80,75,10YR5/4,3,,2,0,,silty clay,,,,,,,1,B,"0,737","4,96738","8,24",70,,,
JP19B33,B33,21/05/2019,43606,JP19,2019,"3,173761","514107,95","43,239049","4787375,99","1,02",90-120,105,10YR5/4,3,,2,0,,silty clay,,,,,,,1,B,"1,621","10,92554","8,19",110,,,
JP19B34,B34,21/05/2019,43606,JP19,2019,"3,173111","514054,40","43,242408","4787748,91","2,612",0-20,10,10YR5/4,3,,1,0,,silty clay,,,,,,"Deep auger, 4m30: -130-180 more sandy; -170 trace of low hydromorphy; -180 saturated; -190-200 wet clayey loamy; -220 saturated sandy, no hydromorphy; -240 silty; -250 sandy; -300 silty; -320 clayey and reduced; -340 blue clay and saturated; -400 much organic matter preserved",1,B,"0,277","1,86698","8,2",86,,,
JP19B34,B34,21/05/2019,43606,JP19,2019,"3,173111","514054,40","43,242408","4787748,91","2,362",30-40,35,10YR5/4,3,,1,0,,silty clay,,,,,,,1,B,"0,356","2,39944","8,25",100,,,
JP19B34,B34,21/05/2019,43606,JP19,2019,"3,173111","514054,40","43,242408","4787748,91","1,962",70-80,75,10YR6/4,3,,1,0,,clay loam,,,,,,,1,B,"0,393","2,64882","8,38",83,,,
JP19B34,B34,21/05/2019,43606,JP19,2019,"3,173111","514054,40","43,242408","4787748,91","1,662",90-120,105,10YR6/4,3,,2,0,,clay loam,,,,,,,1,B,"0,527","3,55198","8,25",110,,,
JP19B34,B34,21/05/2019,43606,JP19,2019,"3,173111","514054,40","43,242408","4787748,91","1,212",120-180,150,"2,5Y5/3",,,3,0,,sandy loam,,,,,,,1,B,"0,528","3,55872",,,,,
JP19B34,B34,21/05/2019,43606,JP19,2019,"3,173111","514054,40","43,242408","4787748,91","0,762",180-210,195,"2,5Y5/3",,,3,0,,silty sand,,,,,,,1,B,,,,,,,
JP19B34,B34,21/05/2019,43606,JP19,2019,"3,173111","514054,40","43,242408","4787748,91","0,512",210-230,220,"2,5Y5/3",,,3,0,,sandy loam,,,,,,,1,B,"0,644","4,34056","8,14",84,,,
